text,toxicity,id,parent_id,url,date,,,,
Ο Νίκος Μιχαλολιάκος στον ΣΚΑΪ,1,1,0,https://www.youtube.com/watch?v=pxOwSYgRPPU&ab_channel=SKAI.gr,11 years ago ,,,,
"Αν ο Μπογδανος φορουσε την κουστουμια του Μηχαλολιακου, θα ηταν ο HITMAN :p",1,0,1,,8 years ago,,,,
Ο Μπογδανος πρέπει να διδάσκεται στις δραματικές σχολές ή στα τμήματα θεατρολογίας όλης της χώρας - έχει προσφέρει τόσα στην κωμωδία! Τον ευχαριστούμε.,1,0,1,,3 months ago (edited),,,,
έχω πεθάνει απο τα γέλια με την όλη φάση,1,0,1,,10 years ago,,,,
Το κοντρόλ έχει πάρει φωτιά σε αυτό το επεισόδιο μέχρι το μικρόφωνο φτάνουν οι φωνές απτό ακουστικό,1,0,1,,5 years ago,,,,
"αν μη τι αλλο, εριξα τρελο γελιο
επεσαν απιστευτες ατακες!!",1,0,1,,11 years ago,,,,
"Υπέροχο βίντεο, αλλά κάντε περισσότερα για να διαφωτίσετε τον κόσμο. Έπεσα πάνω σε κάποιον που παραπονέθηκε στην ενότητα των σχολίων σας ότι έχασε τη δουλειά και αναζητούσε βοήθεια. Η ύπαρξη πολλαπλών πηγών εισοδήματος είναι πολύ σημαντική για την οικονομική ανάπτυξη.",1,0,1,,4 months ago,,,,
Έχω δει αυτή την συνέντευξη 22 φορές no joke παιδιά,1,0,1,,3 years ago,,,,
Ευχαριστουμε τον παρουσιαστη του Ευθεως που με αυτη την εκπομπη εκτιναξε τα ποσοστα της Χ.Α. στα υψη.,2,0,1,,11 years ago,,,,
Εχω δει το βιντεο πανω απο 3 φορες και παντα μου φτιαχνει τη διαθεση.,1,0,1,,10 years ago,,,,
"Για μένα δύο εκπομπές είναι επικές  στην ελληνική τηλεόραση απ το 2000 και μετά που θυμάμαι , γιατί δεκαετία 90 ήμουν αρκετά μικρός . Η μια είναι αυτήν , και η άλλη είναι του Σώρρα στον Σρόιτερ . Αυτές η εκπομπές είναι ότι πιο επικό έχει βγει , συνδυάζουν διασκέδαση πολιτική πραγματικότητα και λίγο και νοοτροπία μέσου έλληνα .",1,0,1,,5 months ago,,,,
"Comedy Club απο τα καλύτερα, δημοσιογράφος και συνεντευξιαζόμενος γίνονται ρόμπα για διαφορετικούς λόγους.",2,0,1,,11 years ago,,,,
Βάζω την συνέντευξη κάθε βράδυ και κοιμάμαι σε 5 λεπτά,1,0,1,,1 year ago,,,,
"Η Ελλάδα πάνω από όλα παιδιά. Δεν υπάρχει παρά μόνο το κοινό συμφέρον. Ξέρω ότι υπάρχουν διαφορές, όποιες και αν είναι αυτές. Ας μην κάνουμε την χάρη σε αυτούς που θέλουν να μας εξαφανίσουν.
Ας γίνουμε μωρέ για μια φορά ΕΝΑ",1,0,1,,10 years ago,,,,
"Ο πιο τρελός δημοσιογράφος που πέρασε ποτέ στα χρονικά!, και άσχετος των χρωνικων που πέρασε ποτές!!!",1,0,1,,3 years ago,,,,
Σε ένα πράγμα είχε δίκιο ο Μιχαλολιάκος και αφορά όλη τη συνέντευξη... 3 λαλούν και ένας χορεύει....,2,0,1,,11 years ago,,,,
το καλύτερο στη συνέντευξη είναι ότι βρέθηκε κάποιος που μπορεί να διακόψει τον Μπογδάνο,1,0,1,,3 years ago,,,,
όχι δεν είσαι μόνος. Απλά πρέπει κάποια στιγμή να φωνάξουμε δυνατά και μεις οι ψύχραιμοι. Η απάθεια είναι συνενοχή. Να το θυμάσαι αυτο΄. Καλό κουράγιο και σε σένα.,1,0,1,,11 years ago,,,,
Έπρεπε να γινόταν μια συζήτηση Μπογδάνος - Κασιδιάρης,1,0,1,,5 months ago,,,,
"""Ο μεγαλύτερος εχθρός όλων θεωρείται αυτός που λέει την αλήθεια."" Πλάτων",1,0,1,,11 years ago,,,,
Μπογδανε μεγάλε! Άρτιος δημοσιογράφος ! Φοβερή υπομονή ! Respect συγχαρητήρια !,1,0,1,,9 years ago,,,,
"Πω πω πω επίπεδο... έχω συγκλονιστεί ειλικρινά με τα συνταρακτικά σου επιχειρήματα. Μπράβο αντρίκλα!! (για δες,σου έφυγε κάνας πόντος?)",2,0,1,,11 years ago,,,,
Aυτή η συνέντευξη πρέπει να μπει στο αρχείο και να χρησιμοποιηθεί από τις διάφορες σχολές δημοσιογραφίας ως σεμινάριο και παράδειγμα προς αποφυγή. Έγραψε ιστορία ο Μπογδάνος εδώ.,4,0,1,,3 years ago,,,,
Η εκπομπή είναι καταπληκτική πατώντας το mute. Ψηφίζω Μπογδάνο για Γ.Γ. της Χ.Α. και Μιχαλολιάκο για δημοσιογράφο στο ΣΚΑΪ. Η καράφλα παραπέμπει εκεί άλλωστε.,3,0,1,,11 years ago,,,,
"Τελικά ρε μάγκες, ποιος έκανε συνέντευξη σε ποιον;
Ο Μιχαλολιάκος στον Μπογδάνο, ή ο Μπογδάνος στον Μιχαλολιάκο;",2,0,1,,5 years ago,,,,
33:53 ''Δεν είναι ευθέως! Είναι πλαγίως υπούλως και υπογείως!'' αααααααααααααααααααααααααααχαχαχαχαχαχαχαχαχαχαχαχαχαχαχχαχαχαχαχαχαα,3,0,1,,7 years ago,,,,
"Η καλύτερη συνέντευξη που έχω ακούσει ποτέ μου. !!!!! Οποιος νιώθει..... , βγάζει νικητή και ηττημένο. Εύχομαι το καλό της πατρίδας μου. Περάσανε ΄πάρα πολλοί πολιτικοί από την Ελλάδα. Πιστεύω ότι ο Μιχαλολιάκος τουλάχιστον αγαπά την Ελλάδα, και δεν έχει ξέμπαρκα τα στελέχοι του.",1,0,1,,10 years ago,,,,
η καλυτερη κωμωδια της χρονιας !! γεια σου ρε μπογδανο !! εισαι θεος αγορι μου! δωσε γελιο στον λαο !!,1,0,1,,10 years ago,,,,
Πως αλλάζουν οι εποχές.... Πως η ανάγκη γίνεται ιστορία,1,0,1,,9 months ago,,,,
μια απο τις μεγαλες στιγμες της ελληνικης TV ...!!!,1,0,1,,11 years ago,,,,
"20:03 -Θελω να καταγραψω την δημοσιογραφικη σου αποτυχια
           -Παρακαλω",3,0,1,,1 month ago,,,,
Υπέροχος δε λες τίποτα. Ο καλύτερος κωμικός ever. Kαι αυτό άθελά του. Φαντάσου να το ήθελε.,1,0,1,,11 years ago,,,,
Με κάλυψες απόλυτα. Μπράβο !,1,0,1,,11 years ago,,,,
ΑΑΑΑΑ! Οι φαρσες της Συντελειας μεταφερθηκαν στις 00.00 και προσελαβαν τον Μπογδανο και τον Μιχαλολιακο;;;;;; ΤΕΛΕΙΑ!,1,0,1,,11 years ago,,,,
"-εδώ μαζί σου
-άσε άσε σιγά, με συγκίνησες",1,0,1,,4 years ago,,,,
"τι παρωδία είναι αυτή.. Μπογδάνε συγχαρητήρια, φοβερός είσαι!",1,0,1,,11 years ago,,,,
"Μπογδάνος, η συνέντευξη αυτή ανέβασε την καριέρα σου στο ζενίθ, είσαι πολύ τυχερός που πήρες συνέντευξη από τέτοιον πολιτικό. Μπόρεσες και κατάφερες να την βγάλεις μέχρι τέλος με μεγάλα νουμερα, μπράβο σου.",1,0,1,,1 year ago,,,,
Φοβερά επιχειρήματα! Μπράβο εγέρθητε.,1,0,1,,11 years ago,,,,
44:31 κλαίω,1,0,1,,5 months ago,,,,
Ότι καλύτερο να δεις όταν τρως φασολάκια και τυρί για μεσημεριανό,1,0,1,,2 years ago,,,,
δέν μπορεί να κάνει διάλογο..απλά έχει έτοιμες τις ερωτήσεις..αστείος!,1,0,1,,11 years ago,,,,
Και οι δύο ήταν πολύ αστείοι,1,0,1,,4 years ago,,,,
Δεν νερω τι λατρεψα πιο πολυ απο την συνέντευξη,1, το οτι αλλα λεει ο ενας και σε αλλα απανταει ο αλλος, την καταπληκτικη ηρεμια του Μπογδανου ή τις ασυναρτησίες για τους γκει και το AIDS, Ολα ενα κουβαρι σε μια συνέντευξη που απλα δεν βλεπεται χωρις να προκαλεσει τον παραμικρο εκνευρισμο.,0,1,,9 years ago,
ουτε εμεις εχουμε και τις καλυτερες σχεσεις μαζι τους...,1,0,1,,11 years ago,,,,
"Mια χαρά είναι ο Μπογδάνος, σοβαρός και αξιοπρεπέστατος! Και επιτέλους μια εξαίρεση στους μεγαλοκαρχαρίες της ενημέρωσης",1,0,1,,11 years ago,,,,
Εκεί που λέει ο μιχαλολιακοσ για την κοκκινοσκουφίτσα εκλαψα,1,0,1,,3 years ago,,,,
"έτυχε να ακούσω για αυτή την εκπομπή!!!και έκατσα και την είδα!!!γέλασα με τη ψυχή μου!!!!!
 ο σκαι βοηθάει τη χρυσή αυγή να ανεβάσει τα ποσοστά  της",4,0,1,,11 years ago,,,,
"""Παρακάτω θα πηγαίνεις την κουβέντα γιατί δεν μπορείς να σταθείς πουθενά & παρακάτω παρακάτω, φθάσαμε εδώ που φθάσαμε την Ελλάδα"". Τσακίζει κόκκαλα.",3,0,1,,1 year ago,,,,
Είμαι στο όγδοο λεπτό και ήδη με έχει πιάσει πονοκέφαλος...για να δούμε πόσο θα αντέξω...,3,0,1,,9 years ago,,,,
Θα ειχε τεραστιο ενδιαφερον εαν καποιος μπορουσε να ακουσει και να αποτυπωσει τις οδηγιες του υποβολεα που ακουγεται καθε τρεις και λιγο απο το ακουστικο του Μπογδανου.,1,0,1,,11 years ago,,,,
"συνέλληνα χρονια πολλά, Ζήτω ο Μεταξάς, ο Παπαδόπουλος και ο Μιχαλολιάκος. όλα θα πάνε μελι-γαλά.",1,0,1,,11 years ago,,,,
"Μου βγήκε στα προτεινόμενα για κάποιο λόγο και δεδομένου του ότι έχουν περάσει 7 χρόνια εγώ απλά γελάω με αυτή τη ""συζήτηση""",1,0,1,,3 years ago,,,,
Mι Κάπα Όψιλον είπε ή μου φαίνεται,1, Κλαίω. Πολλή αγάπη στην ελληνική γλώσσα.,0,1,,9 years ago,,,
