text,language
Πώς ήσουν έτσι φαντάρος,greek
poios eskase sta gelia so komati me to baroufaki? xD ,greeklish
"Αυτό που είναι τόσο αξιοθαύμαστο με τη δουλειά του Booyah είναι η λεπτομέρεια!!Μέχρι και η μουσικη που βάζει,έχει λόγο και τη βάζει!!Για παράδειγμα,όσο μιλούσε για τον Τζακ έπαιζε το hit the road Jack
Συνέχισε έτσι την φοβερή δουλειά που κάνεις Αλεξ!!!!",greek
6:15  επικό κλανιδι απο mikeius,greek
Den eimouna poly fun tou Mikeous/Mpraf alla to thapse to senario p eida ,greeklish
"Αυτό με την Φανή, έπεσα από τα σύννεφα. Νταξει την έμμονη υπεράσπιση του προς τον Λιναρα την θεωρούσα fail εξ αρχής. Αλλά το σκηνικό της Φανής δεν το περίμενα.",greek
"As a Chinese person, I can confirm that we cook Egg Fried Rice properly in this video.",english
YES FINALLY ANOTHER VIDEO sorry I always wait for your videos 2ith enough patience your recipes are wonderful,english
looks delicious!,english
Το χειρότερο με αυτό το βίντεο είναι ότι δεν μπορείς να πατήσεις και δυο και τρεις φορές like. Η καλύτερη σειρά βίντεο στο ελληνικό YouTube μακράν. Απλά μπράβο.,greek
This man is the reason why eggs are so expensive now.,english
"Αυτό που ήθελες το πέτυχες ,μας έβαλες να σκεφτόμαστε",greek
I like how if you don't add the egg (x1000) you actually have an authentic recipe,english
"See, I actually thought this guy would have a normal tutorial, instead, he gave me a legendary tutorial. Respect +",english
Μικεφςςςς!!!!πότε τα καινούργια 'μπραφ'???,greek
Κε εγο από Λιμνο ιμε,greek
"Booyah με ανατριχιασες . 
Μετά από τόσα χρόνια (2014) που είσαι ο μόνος YouTuber που σταθερά βλέπω και ξαναβλέπω  5-6 φορές το κάθε βίντεο . Θέλω να πω όσο αξία και αν έχει η όχι για εσένα αυτό … ότι είμαι πολύ περήφανος για εσένα 
Μπράβο … δεν έχω λόγια .",greek
Booyah χαίρομαι παρά πολύ που ανοίχτηκες και τα έβγαλες όλα από μέσα σου και είσαι καλά. Ήρθε η ώρα για μια αλλαγή.,greek
"Κοίτα να δεις, δεν είχα καταλάβει ποτέ αυτήν την οπτική.
Welp we are hypocrites guys...
Well you've done it,
Great power comes with great responsibility φίλε booyah και το έκανες realise πριν καν πάρεις αυτήν την δύναμη.",greek
"Ένα μεγάλο μπράβο για αυτό το έπος! παράτησα τα πάντα 2.5 ώρες να το δω. 
Χαίρομαι που ""επέστρεψες """,greek
"Αυτό το βίντεο εκθέτει κάθε είδος σαπιλας κ βρωμιάς στο yt κ κατ επέκταση στη ζωή... Δε νομίζω να ξαναβγεί πιο περιεκτικό βίντεο απ αυτο ποτέ 
#RealBooyahBoss ️",greek
"Τώρα κατάλαβα γιατί το συγκεκριμένο βίντεο έπρεπε να ονομαστεί Ελληνικό Youtube 4. Γιατί τους πήδηξες στα 4. 
Πέρα από την πλάκα το βίντεο είναι όντως μια αρχή για να κάνουμε και εμείς, το κοινό, την αυτοκριτική μας. Να κοιταχτούμε στον καθρέφτη όσο δύσκολο και αν είναι. 
Σε ευχαριστώ που με καθήλωσες τρεις ώρες στον υπολογιστή μου, κάνοντάς με να πηγαίνω πίσω ξανά και ξανά για να καταλάβω και να εμπεδώσω αυτό που λες. Αυτό το βίντεο, το κατατάσσω προσωπικά σε μια πολύ μικρή λίστα με τα αριστουργήματα της πλατφόρμας. Για την ακρίβεια, συγκαταλέγεται με ακόμη ένα. Το « Εγώ» του Κοντοπίδη. Γιατί και τα δύο ήταν η αφορμή για σκέψη, για συζήτηση με το μέσα σου.",greek
"Ti kaneis tora, kala?",greeklish
"Booyah δεν χρειάζεται να βγάλεις νέο βίντεο, εγώ έτσι κι αλλιώς μπαίνω και το βλέπω αυτό κάθε εβδομάδα",greek
"Σε παρακολουθώ από πολύ παλιά. Πλέον είμαι στα 30+ μένω σε ""νορμάλ"" σπίτι, νορμάλ ζωή κλπ. Είσαι ο μόνος youtuber που και 10 ώρες βίντεο να βγάλεις, θα το δώ ακόμα και τώρα που δεν έχω χρόνο ούτε να μαγειρέψω. Βγάζεις content CONTENT!  Respect!",greek
anyone else =stress out but wrote recipe down ? looks good,english
"Καλημέρα Άλεξ, συγχαρητήρια για το φοβερό βίντεο, πραγματικά απολαυστικό αν και πολύ μεγάλο, περνάει ευχάριστα και γρήγορα.
Είμαι φαν σου γύρω στα 5 χρόνια, ενώ προσφάτως έκανα κ την εγγραφή μου στο κανάλι σου.
Δεν τα γνώριζα όλα αυτά για σένα που είπες στην αρχή,και μπορώ να πω ότι σε θαύμασα ακόμα περισσότερο.",greek
I think it’s amazing that these videos start out as normal tutorials and continue to be normal until they are not,english
"I'm actually glad, that unlike how it is in some of his previous videos, he enjoys the final result.",english
